,0,1
0,[0.15051035 0.60904522 0.21851812 0.02192631],4
1,[8.95419850e-02 5.83024299e-01 3.27219738e-01 2.13977498e-04],14
2,[0.64559133 0.10325186 0.00107904 0.25007778],93
