,0,1
0,[0.23722379 0.1631513  0.37328185 0.22634306],-2992.01283345599
1,[0.23722379 0.1631513  0.37328185 0.22634306],-2992.01283345599
2,[0.23722379 0.1631513  0.37328185 0.22634306],-2992.01283345599
3,[0.23722379 0.1631513  0.37328185 0.22634306],-2992.01283345599
4,[0.23722379 0.1631513  0.37328185 0.22634306],-2992.01283345599
5,[0.23722379 0.1631513  0.37328185 0.22634306],-2992.01283345599
6,[0.23722379 0.1631513  0.37328185 0.22634306],-2992.01283345599
7,[0.23722379 0.1631513  0.37328185 0.22634306],-2992.01283345599
8,[0.23722379 0.1631513  0.37328185 0.22634306],-2992.01283345599
9,[0.60799087 0.00755344 0.16429793 0.22015775],-2968.317990212863
10,[0.60799087 0.00755344 0.16429793 0.22015775],-2968.317990212863
11,[0.45080631 0.05436115 0.18034978 0.31448276],-2944.8175074306537
12,[0.45080631 0.05436115 0.18034978 0.31448276],-2944.8175074306537
13,[0.45080631 0.05436115 0.18034978 0.31448276],-2944.8175074306537
14,[0.45080631 0.05436115 0.18034978 0.31448276],-2944.8175074306537
15,[0.45080631 0.05436115 0.18034978 0.31448276],-2944.8175074306537
16,[0.45080631 0.05436115 0.18034978 0.31448276],-2944.8175074306537
17,[0.48240867 0.18820439 0.03860149 0.29078545],-2933.513585782831
18,[0.48240867 0.18820439 0.03860149 0.29078545],-2933.513585782831
19,[0.48240867 0.18820439 0.03860149 0.29078545],-2933.513585782831
20,[0.48240867 0.18820439 0.03860149 0.29078545],-2933.513585782831
21,[0.48240867 0.18820439 0.03860149 0.29078545],-2933.513585782831
22,[0.48240867 0.18820439 0.03860149 0.29078545],-2933.513585782831
23,[0.48240867 0.18820439 0.03860149 0.29078545],-2933.513585782831
24,[0.48240867 0.18820439 0.03860149 0.29078545],-2933.513585782831
25,[0.48240867 0.18820439 0.03860149 0.29078545],-2933.513585782831
26,[0.48240867 0.18820439 0.03860149 0.29078545],-2933.513585782831
27,[0.48240867 0.18820439 0.03860149 0.29078545],-2933.513585782831
28,[0.48240867 0.18820439 0.03860149 0.29078545],-2933.513585782831
29,[0.48240867 0.18820439 0.03860149 0.29078545],-2933.513585782831
30,[0.48240867 0.18820439 0.03860149 0.29078545],-2933.513585782831
31,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
32,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
33,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
34,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
35,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
36,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
37,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
38,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
39,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
40,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
41,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
42,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
43,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
44,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
45,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
46,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
47,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
